Certificate
 
 
R
 
 
PG-13
 
 
PG-13
PG-13
 
 
PG-13
 
R
PG-13
 
 
 
PG-13
 
R
 
 
 
PG
PG-13
 
 
 
 
 
 
R
 
PG-13
 
R
 
PG-13
R
PG-13
 
 
 
PG-13
PG-13
 
 
 
R
PG-13
 
R
 
PG-13
R
PG-13
R
 
R
PG-13
 
 
PG-13
R
R
R
 
PG-13
 
 
 
PG-13
PG-13
 
 
 
PG-13
R
 
 
PG-13
PG-13
 
E
R
PG-13
R
R
PG-13
 
PG-13
PG
 
 
PG-13
 
R
R
 
PG-13
PG-13
 
R
R
R
PG-13
 
PG
R
 
 
 
 
R
 
R
PG-13
 
 
 
PG-13
 
 
 
 
PG-13
PG
R
PG
PG-13
PG-13
PG-13
 
 
PG
 
R
 
PG
 
PG-13
PG-13
 
PG-13
 
PG-13
 
 
PG-13
 
 
 
PG-13
 
R
R
 
PG-13
 
R
 
PG-13
PG
PG-13
 
 
 
 
 
R
R
 
R
PG-13
R
PG-13
 
R
R
PG
R
R
 
R
PG-13
 
PG-13
 
R
PG-13
PG-13
R
 
 
PG-13
PG-13
R
 
 
R
R
R
 
 
R
 
 
 
 
PG-13
 
PG-13
 
 
PG-13
 
 
R
 
R
 
PG-13
 
R
R
 
PG-13
 
R
R
PG-13
PG
R
R
 
PG-13
PG-13
PG-13
R
 
PG-13
R
R
 
PG-13
 
 
 
 
 
R
PG-13
 
 
 
PG-13
R
PG-13
R
R
 
R
 
R
 
PG-13
PG-13
 
 
PG
R
R
PG-13
R
PG
PG-13
 
 
PG-13
PG-13
R
 
PG-13
 
PG-13
PG-13
 
PG-13
 
R
R
R
R
 
 
 
 
 
R
 
 
PG-13
R
 
PG-13
PG-13
R
 
 
R
 
 
PG-13
R
 
PG-13
 
 
 
 
R
 
PG-13
PG-13
PG-13
PG-13
R
R
PG-13
 
 
PG
PG-13
R
 
PG-13
PG-13
R
PG-13
PG-13
R
PG-13
PG-13
R
 
PG-13
R
R
PG-13
 
PG-13
PG-13
 
PG-13
 
 
PG-13
 
PG-13
PG-13
R
R
PG-13
PG-13
PG-13
 
R
 
PG-13
 
 
PG-13
 
 
 
PG-13
R
R
R
 
PG-13
 
PG-13
 
 
 
 
R
PG-13
 
 
 
PG-13
 
 
 
PG-13
R
 
 
R
R
 
R
R
PG
PG-13
 
PG-13
 
 
 
PG-13
 
PG-13
 
PG-13
R
R
 
 
PG
PG-13
PG-13
PG-13
PG-13
 
R
 
 
 
 
 
 
PG-13
 
PG-13
R
PG-13
PG-13
PG-13
PG-13
 
 
PG
PG-13
 
 
R
R
PG-13
 
R
R
R
R
 
 
 
R
PG-13
 
R
 
PG-13
 
 
PG-13
 
 
 
PG-13
PG-13
PG
 
PG-13
 
 
PG-13
R
R
 
 
PG-13
 
PG-13
R
 
 
 
 
R
R
R
PG-13
 
R
R
 
PG-13
 
PG-13
PG-13
 
PG-13
 
PG-13
PG-13
 
PG-13
PG-13
PG-13
R
 
PG-13
PG-13
R
PG-13
 
 
PG-13
PG-13
PG-13
PG-13
 
PG-13
 
PG-13
 
R
PG-13
R
PG-13
PG
PG-13
PG-13
 
 
 
PG-13
 
PG
PG-13
R
R
